2023.12.13D18:11:50.313810405,trade,8400,8400
2023.12.13D18:11:50.387640152,quote,16524,16524
2023.12.13D18:11:55.420439074,trade,8400,0
2023.12.13D18:11:55.471257578,quote,16524,0
2023.12.13D18:12:00.382335554,trade,8400,0
2023.12.13D18:12:00.434315602,quote,16524,0
2023.12.13D18:12:05.392501673,trade,8400,0
2023.12.13D18:12:05.531911650,quote,16524,0
2023.12.13D18:12:10.522318231,trade,8400,0
2023.12.13D18:12:10.571691360,quote,16524,0
2023.12.13D18:12:15.424275472,trade,8400,0
2023.12.13D18:12:15.470691767,quote,16524,0
2023.12.13D18:12:20.391679563,trade,8400,0
2023.12.13D18:12:20.466028035,quote,16524,0
2023.12.13D18:12:25.434041247,trade,8400,0
2023.12.13D18:12:25.511777671,quote,16524,0
2023.12.13D18:12:30.430193318,trade,8400,0
2023.12.13D18:12:30.485995000,quote,16524,0
2023.12.13D18:12:35.396703475,trade,8400,0
2023.12.13D18:12:35.465850131,quote,16524,0
2023.12.13D18:12:40.415819476,trade,8400,0
2023.12.13D18:12:40.471415950,quote,16524,0
2023.12.13D18:12:45.408715612,trade,8400,0
2023.12.13D18:12:45.464830240,quote,16524,0
2023.12.13D18:12:50.387793617,trade,8400,0
2023.12.13D18:12:50.428456497,quote,16524,0
2023.12.13D18:12:55.368552905,trade,8400,0
2023.12.13D18:12:55.441378915,quote,16524,0
2023.12.13D18:13:00.407414748,trade,8400,0
2023.12.13D18:13:00.475920243,quote,16524,0
2023.12.13D18:13:05.447469825,trade,8400,0
2023.12.13D18:13:05.517373996,quote,16524,0
2023.12.13D18:13:10.449492164,trade,8400,0
2023.12.13D18:13:10.549081642,quote,16524,0
2023.12.13D18:13:15.438766256,trade,8400,0
2023.12.13D18:13:15.522364528,quote,16524,0
2023.12.13D18:13:20.434506009,trade,8400,0
2023.12.13D18:13:20.517074363,quote,16524,0
2023.12.13D18:13:25.457057185,trade,8400,0
2023.12.13D18:13:25.516803523,quote,16524,0
2023.12.13D18:13:30.421127865,trade,8400,0
2023.12.13D18:13:30.464332050,quote,16524,0
2023.12.13D18:13:35.373703516,trade,8400,0
2023.12.13D18:13:35.422101498,quote,16524,0
2023.12.13D18:13:40.376333663,trade,8400,0
2023.12.13D18:13:40.420242957,quote,16524,0
2023.12.13D18:13:45.371344665,trade,8400,0
2023.12.13D18:13:45.408410669,quote,16524,0
2023.12.13D18:13:50.387098102,trade,8400,0
2023.12.13D18:13:50.448090866,quote,16524,0
2023.12.13D18:13:55.431468106,trade,8400,0
2023.12.13D18:13:55.495222029,quote,16524,0
2023.12.13D18:14:00.418395789,trade,8400,0
2023.12.13D18:14:00.483333852,quote,16524,0
2023.12.13D18:14:05.421147347,trade,8400,0
2023.12.13D18:14:05.478336363,quote,16524,0
2023.12.13D18:14:10.428203911,trade,8400,0
2023.12.13D18:14:10.508379360,quote,16524,0
2023.12.13D18:14:15.440143173,trade,8400,0
2023.12.13D18:14:15.488841602,quote,16524,0
2023.12.13D18:14:20.401154714,trade,8400,0
2023.12.13D18:14:20.455319264,quote,16524,0
2023.12.13D18:14:25.393213476,trade,8400,0
2023.12.13D18:14:25.435624276,quote,16524,0
2023.12.13D18:14:30.377167584,trade,8400,0
2023.12.13D18:14:30.428509207,quote,16524,0
2023.12.13D18:14:35.417888627,trade,8400,0
2023.12.13D18:14:35.477424770,quote,16524,0
2023.12.13D18:14:40.448675851,trade,8400,0
2023.12.13D18:14:40.495382443,quote,16524,0
2023.12.13D18:14:45.418768034,trade,8400,0
2023.12.13D18:14:45.466228574,quote,16524,0
2023.12.13D18:14:50.392369912,trade,8400,0
2023.12.13D18:14:50.476324230,quote,16524,0
2023.12.13D18:14:55.426329301,trade,8400,0
2023.12.13D18:14:55.486597770,quote,16524,0
2023.12.13D18:15:00.444629773,trade,8400,0
2023.12.13D18:15:00.500372339,quote,16524,0
2023.12.13D18:15:05.448047811,trade,8400,0
2023.12.13D18:15:05.499221183,quote,16524,0
2023.12.13D18:15:10.398813121,trade,8400,0
2023.12.13D18:15:10.458431125,quote,16524,0
2023.12.13D18:15:15.383379064,trade,8400,0
2023.12.13D18:15:15.431030290,quote,16524,0
2023.12.13D18:15:20.390706548,trade,8400,0
2023.12.13D18:15:20.447418200,quote,16524,0
2023.12.13D18:15:25.414681819,trade,8400,0
2023.12.13D18:15:25.457249287,quote,16524,0
2023.12.13D18:15:30.405822742,trade,8400,0
2023.12.13D18:15:30.479514491,quote,16524,0
2023.12.13D18:15:35.434594081,trade,8400,0
2023.12.13D18:15:35.483826562,quote,16524,0
